Nazwa,Cena,Białko,Tłuszcz,Popiół,Włókno,Wilgotność,Wapń,Fosfor,Węglowodany,Energia,Skład,Opis,species,food_type
Canagan For Cats Tuna with Crab Mokra Karma dla kota op. 75g,6.90,18.0%,2.0%,1.0%,0.1%,76.0%,,,,,"Całe kawałki tuńczyka 58%, wywar z tuńczyka 32%, mięso kraba 5%, tapioka, olej słonecznikowy, witaminy i minerały.","Wysokiej jakości mokra karma dedykowana dla kotów w każdym wieku. Psy i koty, jak wszystkie zwierzęta mięsożerne są biologicznie nieprzystosowane do trawienia zbóż. W ich krótkim przewodzie pokarmowym nie odbywają się procesy trawienne, ponieważ ich ślina pozbawiona jest enzymu zwanego amylazą, który pozwala na trawienie tych pełnych w skrobię węglowodanów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Canagan Ocean Tuna with Salmon to karma w pełni zbilansowana, biologicznie odpowiednia i doskonale naśladująca dietę przodków i kocich kuzynów żyjących współcześnie w środowisku naturalnym. Oparta przede wszystkim na tuńczyku i krabie. Producenci karmy Canagan wszystkie zboża wyeliminowali, aby stworzyć karmę która będzie bogata w wartościowe składniki odżywcze, do których trawienia i przyswajania koty są biologicznie przystosowane.",cat,wet
Canagan For Cats Tuna with Crab Mokra Karma dla kota op. 75g Pakiet 12szt.,79.20,18.0%,2.0%,1.0%,0.1%,76.0%,,,,,"Całe kawałki tuńczyka 58%, wywar z tuńczyka 32%, mięso kraba 5%, tapioka, olej słonecznikowy, witaminy i minerały.","Wysokiej jakości mokra karma dedykowana dla kotów w każdym wieku. Psy i koty, jak wszystkie zwierzęta mięsożerne są biologicznie nieprzystosowane do trawienia zbóż. W ich krótkim przewodzie pokarmowym nie odbywają się procesy trawienne, ponieważ ich ślina pozbawiona jest enzymu zwanego amylazą, który pozwala na trawienie tych pełnych w skrobię węglowodanów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Canagan Ocean Tuna with Salmon to karma w pełni zbilansowana, biologicznie odpowiednia i doskonale naśladująca dietę przodków i kocich kuzynów żyjących współcześnie w środowisku naturalnym. Oparta przede wszystkim na tuńczyku i krabie. Producenci karmy Canagan wszystkie zboża wyeliminowali, aby stworzyć karmę która będzie bogata w wartościowe składniki odżywcze, do których trawienia i przyswajania koty są biologicznie przystosowane.",cat,wet
Canagan For Cats Tuna with Mussels Mokra Karma dla kota op. 75g,6.90,18.0%,1.8%,1.5%,0.03%,78.0%,0.24%,0.33%,,,"Tuńczyk 58%, wywar z tuńczyka 32%, małże 5%, tapioka, olej słonecznikowy, witaminy i minerały","Wysokiej jakości mokra karma dedykowana dla kotów w każdym wieku. Psy i koty, jak wszystkie zwierzęta mięsożerne są biologicznie nieprzystosowane do trawienia zbóż. W ich krótkim przewodzie pokarmowym nie odbywają się procesy trawienne, ponieważ ich ślina pozbawiona jest enzymu zwanego amylazą, który pozwala na trawienie tych pełnych w skrobię węglowodanów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Canagan Tuna with Mussels to karma w pełni zbilansowana, biologicznie odpowiednia i doskonale naśladująca dietę przodków i kocich kuzynów żyjących współcześnie w środowisku naturalnym. Oparta przede wszystkim na tuńczyku i małżach. Producenci karmy Canagan wszystkie zboża wyeliminowali, aby stworzyć karmę która będzie bogata w wartościowe składniki odżywcze, do których trawienia i przyswajania koty są biologicznie przystosowane.",cat,wet
Canagan For Cats Tuna with Mussels Mokra Karma dla kota op. 75g Pakiet 12szt.,79.20,18.0%,1.8%,1.5%,0.03%,78.0%,0.24%,0.33%,,,"Tuńczyk 58%, wywar z tuńczyka 32%, małże 5%, tapioka, olej słonecznikowy, witaminy i minerały","Wysokiej jakości mokra karma dedykowana dla kotów w każdym wieku. Psy i koty, jak wszystkie zwierzęta mięsożerne są biologicznie nieprzystosowane do trawienia zbóż. W ich krótkim przewodzie pokarmowym nie odbywają się procesy trawienne, ponieważ ich ślina pozbawiona jest enzymu zwanego amylazą, który pozwala na trawienie tych pełnych w skrobię węglowodanów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Canagan Tuna with Mussels to karma w pełni zbilansowana, biologicznie odpowiednia i doskonale naśladująca dietę przodków i kocich kuzynów żyjących współcześnie w środowisku naturalnym. Oparta przede wszystkim na tuńczyku i małżach. Producenci karmy Canagan wszystkie zboża wyeliminowali, aby stworzyć karmę która będzie bogata w wartościowe składniki odżywcze, do których trawienia i przyswajania koty są biologicznie przystosowane.",cat,wet
Canagan For Cats Tuna with Prawns Mokra Karma dla kota op. 75g,6.90,18.0%,1.5%,1.2%,0.05%,77.0%,0.25%,0.34%,,,"Tuńczyk 58%, wywar z tuńczyka 33%, krewetki 5%, tapioka, olej słonecznikowy, witaminy i minerały","Wysokiej jakości mokra karma dedykowana dla kotów w każdym wieku. Psy i koty, jak wszystkie zwierzęta mięsożerne są biologicznie nieprzystosowane do trawienia zbóż. W ich krótkim przewodzie pokarmowym nie odbywają się procesy trawienne, ponieważ ich ślina pozbawiona jest enzymu zwanego amylazą, który pozwala na trawienie tych pełnych w skrobię węglowodanów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Canagan Tuna with Prawns to karma w pełni zbilansowana, biologicznie odpowiednia i doskonale naśladująca dietę przodków i kocich kuzynów żyjących współcześnie w środowisku naturalnym. Oparta przede wszystkim na tuńczyku i krewetkach. Producenci karmy Canagan wszystkie zboża wyeliminowali, aby stworzyć karmę która będzie bogata w wartościowe składniki odżywcze, do których trawienia i przyswajania koty są biologicznie przystosowane.",cat,wet
Canagan For Cats Tuna with Prawns Mokra Karma dla kota op. 75g Pakiet 12szt.,79.20,18.0%,1.5%,1.2%,0.05%,77.0%,0.25%,0.34%,,,"Tuńczyk 58%, wywar z tuńczyka 33%, krewetki 5%, tapioka, olej słonecznikowy, witaminy i minerały","Wysokiej jakości mokra karma dedykowana dla kotów w każdym wieku. Psy i koty, jak wszystkie zwierzęta mięsożerne są biologicznie nieprzystosowane do trawienia zbóż. W ich krótkim przewodzie pokarmowym nie odbywają się procesy trawienne, ponieważ ich ślina pozbawiona jest enzymu zwanego amylazą, który pozwala na trawienie tych pełnych w skrobię węglowodanów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Canagan Tuna with Prawns to karma w pełni zbilansowana, biologicznie odpowiednia i doskonale naśladująca dietę przodków i kocich kuzynów żyjących współcześnie w środowisku naturalnym. Oparta przede wszystkim na tuńczyku i krewetkach. Producenci karmy Canagan wszystkie zboża wyeliminowali, aby stworzyć karmę która będzie bogata w wartościowe składniki odżywcze, do których trawienia i przyswajania koty są biologicznie przystosowane.",cat,wet
Canagan For Cats Tuna with Salmon Mokra Karma dla kota op. 75g,6.90,18.00%,2.00%,1.50%,0.10%,77.0%,,,,,"Całe kawałki tuńczyka 58%, wywar z tuńczyka 32%, łosoś 5%, tapioca, olej słonecznikowy, witaminy i minerały.","Wysokiej jakości mokra karma dedykowana dla kotów w każdym wieku. Psy i koty, jak wszystkie zwierzęta mięsożerne są biologicznie nieprzystosowane do trawienia zbóż. W ich krótkim przewodzie pokarmowym nie odbywają się procesy trawienne, ponieważ ich ślina pozbawiona jest enzymu zwanego amylazą, który pozwala na trawienie tych pełnych w skrobię węglowodanów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Canagan Ocean Tuna with Salmon to karma w pełni zbilansowana, biologicznie odpowiednia i doskonale naśladująca dietę przodków i kocich kuzynów żyjących współcześnie w środowisku naturalnym. Oparta przede wszystkim na tuńczyku i łososiu. Producenci karmy Canagan wszystkie zboża wyeliminowali, aby stworzyć karmę która będzie bogata w wartościowe składniki odżywcze, do których trawienia i przyswajania koty są biologicznie przystosowane.",cat,wet
Canagan For Cats Tuna with Salmon Mokra Karma dla kota op. 75g Pakiet 12szt.,79.20,18.00%,2.00%,1.50%,0.10%,77.0%,,,,,"Całe kawałki tuńczyka 58%, wywar z tuńczyka 32%, łosoś 5%, tapioca, olej słonecznikowy, witaminy i minerały.","Wysokiej jakości mokra karma dedykowana dla kotów w każdym wieku. Psy i koty, jak wszystkie zwierzęta mięsożerne są biologicznie nieprzystosowane do trawienia zbóż. W ich krótkim przewodzie pokarmowym nie odbywają się procesy trawienne, ponieważ ich ślina pozbawiona jest enzymu zwanego amylazą, który pozwala na trawienie tych pełnych w skrobię węglowodanów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Canagan Ocean Tuna with Salmon to karma w pełni zbilansowana, biologicznie odpowiednia i doskonale naśladująca dietę przodków i kocich kuzynów żyjących współcześnie w środowisku naturalnym. Oparta przede wszystkim na tuńczyku i łososiu. Producenci karmy Canagan wszystkie zboża wyeliminowali, aby stworzyć karmę która będzie bogata w wartościowe składniki odżywcze, do których trawienia i przyswajania koty są biologicznie przystosowane.",cat,wet
Carnilove Adult Chicken&Lamb Mokra Karma dla kota op. 100g,7.10,10.8%,6.8%,2.3%,0.4%,79.0%,,,,,"Mięso z kurczaka 35%, wątroba drobiowa, serca drobiowe, bulion 42.9%, jagnięcina 20%, żurawina 1%, składniki mineralne, olej lniany","Wysokomięsna karma mora z kurczakiem i jagnięciną dla dorosłych kotów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Karma mokra Carnilove Chicken&Lamb to dieta bogata w mięso z kurczaka oraz jagnięciny. Pokarm został stworzony z myślą o zdrowiu, kotów dorosłych. Wysoka zawartość mięsa i brak zbóż to podstawowe cechy karmy, dzięki czemu sprawdzi się ona również u kotów z tendencją do alergii pokarmowych. Karma wzbogacona została o dodatek żurawiny, który ma pozytywny wpływ na drogi moczowe kota. Karma może być podawana jako podstawowy element diety jak i dodatek do karmy suchej.",cat,wet
Carnilove Adult Chicken&Lamb Mokra Karma dla kota op. 100g Pakiet 12szt.,81.60,10.8%,6.8%,2.3%,0.4%,79.0%,,,,,"Mięso z kurczaka 35%, wątroba drobiowa, serca drobiowe, bulion 42.9%, jagnięcina 20%, żurawina 1%, składniki mineralne, olej lniany","Wysokomięsna karma mora z kurczakiem i jagnięciną dla dorosłych kotów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Karma mokra Carnilove Chicken&Lamb to dieta bogata w mięso z kurczaka oraz jagnięciny. Pokarm został stworzony z myślą o zdrowiu, kotów dorosłych. Wysoka zawartość mięsa i brak zbóż to podstawowe cechy karmy, dzięki czemu sprawdzi się ona również u kotów z tendencją do alergii pokarmowych. Karma wzbogacona została o dodatek żurawiny, który ma pozytywny wpływ na drogi moczowe kota. Karma może być podawana jako podstawowy element diety jak i dodatek do karmy suchej.",cat,wet
Carnilove Adult Duck&Catnip Mokra Karma dla kota op. 85g,5.90,8.5%,4.5%,2.2%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, kaczka 14%), bulion 12%, kocimiętka 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte hypoalergiczne i dobrze przyswajalne mięso z kaczki. Charakteryzuje się ono łagodnym działaniem na przewód pokarmowy, dodatkowo sprzyja optymalnej kondycji organizmu a wysoka zawartość kwasów tłuszczowych chroni serce i układ krążenia. Kocimiętka posiada przeciwbakteryjne właściwości, sprzyja zdrowiu przewodu pokarmowego a także działa uspokajająco. Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach. INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Duck&Catnip Mokra Karma dla kota op. 85g Pakiet 24szt.,136.80,8.5%,4.5%,2.2%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, kaczka 14%), bulion 12%, kocimiętka 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte hypoalergiczne i dobrze przyswajalne mięso z kaczki. Charakteryzuje się ono łagodnym działaniem na przewód pokarmowy, dodatkowo sprzyja optymalnej kondycji organizmu a wysoka zawartość kwasów tłuszczowych chroni serce i układ krążenia. Kocimiętka posiada przeciwbakteryjne właściwości, sprzyja zdrowiu przewodu pokarmowego a także działa uspokajająco. Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach. INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Pheasant&Raspberry Leaf Mokra Karma dla kota op. 85g,5.90,8.0%,4.8%,2.1%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, bażant 14%), bulion 12%, liść maliny 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte hypoalergiczne i dobrze przyswajalne mięso z bażanta. Charakteryzuje się wysoką zawartością kwasów tłuszczowych, które chronią serce i układ krążenia. Wysoki poziom selenu osłania komórki przed stresem oksydacyjnym, co dodatkowo wpływa na jakość skóry, stawów oraz pracę mózgu. Liść maliny, który jest bogaty w przeciwutleniacze o właściwościach przeciwzapalnych wspiera zdrowy układ moczowy, dziąsła, wątrobę i stawy. Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach. INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Pheasant&Raspberry Leaf Mokra Karma dla kota op. 85g Pakiet 24szt.,136.80,8.0%,4.8%,2.1%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, bażant 14%), bulion 12%, liść maliny 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte hypoalergiczne i dobrze przyswajalne mięso z bażanta. Charakteryzuje się wysoką zawartością kwasów tłuszczowych, które chronią serce i układ krążenia. Wysoki poziom selenu osłania komórki przed stresem oksydacyjnym, co dodatkowo wpływa na jakość skóry, stawów oraz pracę mózgu. Liść maliny, który jest bogaty w przeciwutleniacze o właściwościach przeciwzapalnych wspiera zdrowy układ moczowy, dziąsła, wątrobę i stawy. Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach. INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Quail&Dandelion Mokra Karma dla kota op. 85g,5.90,8.5%,4.0%,2.2%,0.8%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, przepiórka 14%), bulion 12%, mniszek lekarski 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte hypoalergiczne i dobrze przyswajalne mięso z przepiórki. Jest ono bogate w kwasy tłuszczowe, które mają za zadanie ochronę serca i układu krążenia. Wysoki poziom selenu osłania komórki przed stresem oksydacyjnym, co wpływa na jakość skóry, stawów i funkcje mózgu. Mniszek lekarski, który jest bogaty w przeciwutleniacze o właściwościach przeciwzapalnych wspiera zdrowie skóry, serca, układu moczowego i dziąseł.Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach.INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Quail&Dandelion Mokra Karma dla kota op. 85g Pakiet 24szt.,136.80,8.5%,4.0%,2.2%,0.8%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, przepiórka 14%), bulion 12%, mniszek lekarski 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte hypoalergiczne i dobrze przyswajalne mięso z przepiórki. Jest ono bogate w kwasy tłuszczowe, które mają za zadanie ochronę serca i układu krążenia. Wysoki poziom selenu osłania komórki przed stresem oksydacyjnym, co wpływa na jakość skóry, stawów i funkcje mózgu. Mniszek lekarski, który jest bogaty w przeciwutleniacze o właściwościach przeciwzapalnych wspiera zdrowie skóry, serca, układu moczowego i dziąseł.Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach.INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych",cat,wet
Carnilove Adult Trout&Echinacea Mokra Karma dla kota op. 85g,5.90,7.5%,4.0%,2.0%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, pstrąg 14%), bulion 12%, echinacea 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte dobrze przyswajalne mięso z pstrąga w celu poprawy zdrowia przewodu pokarmowego i optymalnej kondycji. Zawarte kwasy tłuszczowe omega-3 pomagają utrzymać zdrową skórę oraz serce. Echinacea (jeżówka) wspiera odporność i ma właściwości przeciwzapalne, przeciwbakteryjne i przeciwwirusowe. Dodatkowo, wspiera również zdrowie skóry oraz pomaga poprawić ogólny stan zdrowia.Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach.INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Należy zapewnić kotu stały dostęp do miski świeżej wody. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych.",cat,wet
Carnilove Adult Trout&Echinacea Mokra Karma dla kota op. 85g Pakiet 24szt.,136.80,7.5%,4.0%,2.0%,0.5%,82.0%,,,,,"Filet mięsny 85% (kurczak 71%, pstrąg 14%), bulion 12%, echinacea 1%, olej lniany 1%, minerały 0,5%, skrobia roślinna 0,5%.","Wysokiej jakości mokra karma dedykowana dla kotów dorosłych.Dbając o zdrowie naszych Mruczków, oprócz pełnoporcjowej karmy suchej, warto również ""od czasu do czasu"" podawać kotom saszetkę karmy mokrej. Nie od dziś wiadomo, że większość kotów pije bardzo mało wody. Ma to niestety swoje skutki uboczne w coraz częściej występującej chorobie nerek. Karma mokra pomaga uzupełnić niedobór wody w organizmie, a co za tym idzie, wspiera pracę nerek. Carnilove to wysokiej jakości mokra karma w postaci kawałków mięsa w sosie. Do jej produkcji zostało użyte dobrze przyswajalne mięso z pstrąga w celu poprawy zdrowia przewodu pokarmowego i optymalnej kondycji. Zawarte kwasy tłuszczowe omega-3 pomagają utrzymać zdrową skórę oraz serce. Echinacea (jeżówka) wspiera odporność i ma właściwości przeciwzapalne, przeciwbakteryjne i przeciwwirusowe. Dodatkowo, wspiera również zdrowie skóry oraz pomaga poprawić ogólny stan zdrowia.Bez zbóż, ziemniaków, cukru, GMO, soi oraz konserwantów i barwników. Idealna dla kotów wybrednych ze względu na swój aromatyczny zapach.INSTRUKCJA DOTYCZĄCA KARMIENIA: Podawać w temperaturze pokojowej. Należy zapewnić kotu stały dostęp do miski świeżej wody. Zawartość otwartego opakowania można zamrozić lub należy przechowywać ją w lodówce i zużyć w ciągu 3 dni. Przechowywać w suchym i chłodnym miejscu, z dala od bezpośredniego działania promieni słonecznych.",cat,wet
Carnilove Adult Turkey&Reindeer Mokra Karma dla kota op. 100g,7.10,10.7%,6.9%,2.5%,0.4%,79.0%,,,,,"Mięso z indyka 35%, wątróbka z indyka, serca indycze bulion 42.8%, renifer 20%, żurawina 1%, składniki mineralne, olej lniany","Wysokomięsna karma mokra z indykiem i reniferem dla dorosłych kotów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Karma mokra Carnilove Turkey&Reindeer to dieta bogata w mięso z indyka oraz renifera. Pokarm został stworzony z myślą o zdrowiu, kotów dorosłych. Wysoka zawartość mięsa i brak zbóż to podstawowe cechy karmy, dzięki czemu sprawdzi się ona również u kotów z tendencją do alergii pokarmowych. Karma wzbogacona została o dodatek żurawiny, który ma pozytywny wpływ na drogi moczowe kota. Karma może być podawana jako podstawowy element diety jak i dodatek do karmy suchej.",cat,wet
Carnilove Adult Turkey&Reindeer Mokra Karma dla kota op. 100g Pakiet 12szt.,81.60,10.7%,6.9%,2.5%,0.4%,79.0%,,,,,"Mięso z indyka 35%, wątróbka z indyka, serca indycze bulion 42.8%, renifer 20%, żurawina 1%, składniki mineralne, olej lniany","Wysokomięsna karma mokra z indykiem i reniferem dla dorosłych kotów. Karmy mokre, dzięki wysokiej zawartości wody, sprzyjają produkcji mniej skoncentrowanego moczu, natomiast bardziej rozcieńczony mocz jest korzystny dla zapobiegania kamicy nerkowej u kotów. Karma mokra Carnilove Turkey&Reindeer to dieta bogata w mięso z indyka oraz renifera. Pokarm został stworzony z myślą o zdrowiu, kotów dorosłych. Wysoka zawartość mięsa i brak zbóż to podstawowe cechy karmy, dzięki czemu sprawdzi się ona również u kotów z tendencją do alergii pokarmowych. Karma wzbogacona została o dodatek żurawiny, który ma pozytywny wpływ na drogi moczowe kota. Karma może być podawana jako podstawowy element diety jak i dodatek do karmy suchej.",cat,wet
